X,HGL
11.92,0.526289
11.93,0.526334
11.94,0.526378
11.95,0.526422
11.96,0.526466
11.97,0.52651
11.98,0.526555
11.99,0.526599
12,0.526643
12.01,0.526687
12.02,0.526731
12.03,0.526775
12.04,0.526819
12.05,0.526863
12.06,0.526907
12.07,0.526951
12.08,0.526995
12.09,0.527039
12.1,0.527083
12.11,0.527127
12.12,0.527171
12.13,0.527215
12.14,0.527259
12.15,0.527302
12.16,0.527346
12.17,0.52739
12.18,0.527434
12.19,0.527478
12.2,0.527521
12.21,0.527565
12.22,0.527609
12.23,0.527653
12.24,0.527696
12.25,0.52774
12.26,0.527784
12.27,0.527827
12.28,0.527871
12.29,0.527914
12.3,0.527958
12.31,0.528001
12.32,0.528045
12.33,0.528088
12.34,0.528132
12.35,0.528175
12.36,0.528219
12.37,0.528262
12.38,0.528306
12.39,0.528349
12.4,0.528393
12.41,0.528436
12.42,0.528479
12.43,0.528523
12.44,0.528566
12.45,0.528609
12.46,0.528652
12.47,0.528696
12.48,0.528739
12.49,0.528782
12.5,0.528825
12.51,0.528869
12.52,0.528912
12.53,0.528955
12.54,0.528998
12.55,0.529041
12.56,0.529084
12.57,0.529127
12.58,0.52917
12.59,0.529213
12.6,0.529256
12.61,0.529299
12.62,0.529342
12.63,0.529385
12.64,0.529428
12.65,0.529471
12.66,0.529514
12.67,0.529557
12.68,0.5296
12.69,0.529643
12.7,0.529686
12.71,0.529729
12.72,0.529771
12.73,0.529814
12.74,0.529857
12.75,0.5299
12.76,0.529943
12.77,0.529985
12.78,0.530028
12.79,0.530071
12.8,0.530113
12.81,0.530156
12.82,0.530199
12.83,0.530241
12.84,0.530284
12.85,0.530326
12.86,0.530369
12.87,0.530412
12.88,0.530454
12.89,0.530497
12.9,0.530539
12.91,0.530582
12.92,0.530624
12.93,0.530667
12.94,0.530709
12.95,0.530751
12.96,0.530794
12.97,0.530836
12.98,0.530879
12.99,0.530921
13,0.530963
13.01,0.531006
13.02,0.531048
13.03,0.53109
13.04,0.531132
13.05,0.531175
13.06,0.531217
13.07,0.531259
13.08,0.531301
13.09,0.531344
13.1,0.531386
13.11,0.531428
13.12,0.53147
13.13,0.531512
13.14,0.531554
13.15,0.531596
13.16,0.531638
13.17,0.53168
13.18,0.531723
13.19,0.531765
13.2,0.531807
13.21,0.531849
13.22,0.531891
13.23,0.531932
13.24,0.531974
13.25,0.532016
13.26,0.532058
13.27,0.5321
13.28,0.532142
13.29,0.532184
13.3,0.532226
13.31,0.532268
13.32,0.532309
13.33,0.532351
13.34,0.532393
13.35,0.532435
13.36,0.532476
13.37,0.532518
13.38,0.53256
